T [C],T [K],Cp [J/gC]
-183.15,90,0.0949
-173.15,100,0.1261
-163.15,110,0.1603
-153.15,120,0.1968
-143.15,130,0.2349
-133.15,140,0.2739
-123.15,150,0.3134
-113.15,170,0.3526
-103.15,170,0.3913
-93.15,180,0.4291
-83.15,190,0.4659
-73.15,200,0.5014
-63.15,210,0.5356
-53.15,220,0.5684
-43.15,230,0.5996
-33.15,240,0.6294
-23.15,250,0.6579
-13.15,260,0.6848
-3.15,270,0.7103
0,273.15,0.718
6.85,280,0.7343
16.85,290,0.7572
26.85,300,0.7788
36.85,310,0.7994
46.85,320,0.8188
56.85,330,0.8373
66.85,340,0.8548
76.85,350,0.8713
86.85,360,0.8871
96.85,370,0.902
106.85,380,0.9161
116.85,390,0.9296
126.85,400,0.9423
136.85,410,0.9545
146.85,420,0.966
156.85,430,0.977
166.85,440,0.9875
176.85,450,0.9975
186.85,460,1.007
196.85,470,1.0161
206.85,480,1.0247
216.85,490,1.033
226.85,500,1.0409
236.85,510,1.0484
246.85,520,1.0557
256.85,530,1.0627
266.85,540,1.0692
276.85,550,1.0756
286.85,560,1.0817
296.85,570,1.0876
306.85,580,1.0932
316.85,590,1.0987
326.85,600,1.1038
336.85,610,1.1089
346.85,620,1.1137
356.85,630,1.1183
366.85,640,1.1228
376.85,650,1.1271
386.85,660,1.1313
396.85,670,1.1353
406.85,680,1.1393
416.85,690,1.1431
426.85,700,1.1467
446.85,720,1.1538
466.85,740,1.1604
486.85,760,1.1667
506.85,780,1.1726
526.85,800,1.1783
546.85,820,1.1837
566.85,840,1.1888
586.85,860,1.1937
606.85,880,1.1985
626.85,900,1.203
646.85,920,1.2074
666.85,940,1.2117
686.85,960,1.2159
706.85,980,1.2198
726.85,1000,1.2237
746.85,1020,1.2275
766.85,1040,1.2312
786.85,1060,1.2348
806.85,1080,1.2383
826.85,1100,1.2417
846.85,1120,1.2451
866.85,1140,1.2484
886.85,1160,1.2516
906.85,1180,1.2548
926.85,1200,1.2578
976.85,1250,1.2653
1026.85,1300,1.2724
1076.85,1350,1.2792
1126.85,1400,1.2856
1176.85,1450,1.2917
1226.85,1500,1.2975
1276.85,1550,1.3028
1326.85,1600,1.3079
1376.85,1650,1.3128
